Job Function,Easy Apply,Overall Rating,Compensation & Benefit,Culture & Value,Career Opportunitie,Work/Life Balanc,Founded,Job Age in Hours,Estimated Salary
Bi Analyst,0.6666666666666666,3.644444444444444,3.5999999999999996,3.7333333333333334,3.333333333333334,3.788888888888889,1985.857142857143,301.3333333333333,73000.0
Data Analyst,0.475,3.8224999999999993,3.4725,3.8324999999999996,3.5025000000000004,3.8300000000000005,1972.5151515151515,292.2,71300.0
Data Scientist,0.2641509433962264,3.866037735849057,3.569811320754716,3.8037735849056613,3.6094339622641507,3.699999999999999,1969.7173913043478,319.6981132075472,100226.41509433962
Data Engineer,0.41333333333333333,4.029333333333333,3.792000000000001,4.010666666666668,3.8799999999999986,3.8239999999999994,1977.298245614035,301.44,95626.66666666667
Machine Learning Engineer,0.18181818181818182,4.309090909090909,3.927272727272727,4.172727272727273,4.090909090909092,4.118181818181817,1980.9,255.27272727272728,102000.0
