Job Function,Easy Apply,Overall Rating,Compensation & Benefit,Culture & Value,Career Opportunitie,Work/Life Balanc,Founded,Job Age in Hours,Estimated Salary
Bi Analyst,0.5454545454545454,3.709090909090909,3.6181818181818177,3.6727272727272724,3.436363636363637,3.7363636363636363,1985.857142857143,296.72727272727275,71545.45454545454
Data Analyst,0.46511627906976744,3.834883720930232,3.5,3.846511627906976,3.5302325581395357,3.83953488372093,1965.9722222222222,291.90697674418607,70697.67441860466
Data Scientist,0.2711864406779661,3.866101694915255,3.5966101694915253,3.810169491525425,3.608474576271186,3.7033898305084727,1965.923076923077,327.0508474576271,99457.62711864407
Data Engineer,0.4155844155844156,4.038961038961039,3.8064935064935077,4.022077922077924,3.8922077922077905,3.837662337662337,1978.4915254237287,302.02597402597405,96090.90909090909
Machine Learning Engineer,0.18181818181818182,4.309090909090909,3.927272727272727,4.172727272727273,4.090909090909092,4.118181818181817,1980.9,255.27272727272728,102000.0
